"plugin","extension point","is aggregated contract","verification result ","must exist: ?/propertyTester/@id ","must exist: ?/propertyTester/@type ","must exist: ?/propertyTester/@namespace ","must exist: ?/propertyTester/@properties ","?/propertyTester/@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?/propertyTester/@id ","variable ?/propertyTester/@type ","variable ?/propertyTester/@namespace ","variable ?/propertyTester/@properties ","variable ?/propertyTester/@class ",,,,,,,,,,,,,
"    org.eclipse.jpt.core","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jpt.core.propertyTester.persistentAttribute ","org.eclipse.jpt.core.context.PersistentAttribute ","org.eclipse.jpt.core ","isMapped"," isVirtual ","org.eclipse.jpt.core.internal.context.PersistentAttributePropertyTester            ",,,,,,,,,,,,
"    org.eclipse.dltk.launching","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.dltk.launching.DLTKLaunchableTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.dltk.launching ","isContainer"," hasProjectNature"," buildpathReference ","org.eclipse.dltk.internal.launching.DLTKLaunchableTester            ",,,,,,,,,,,
"    org.eclipse.debug.core","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.debug.core.propertyTesters.launchable ","java.lang.Object ","org.eclipse.debug.core ","launchable ","org.eclipse.debug.internal.core.LaunchablePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.jst.server.core","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.server.cactus.expression ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.jst.cactus.expressions ","isServletTestCase ","org.eclipse.jst.server.core.internal.cactus.ServletTestCasePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.dltk.testing","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.dltk.testing.testingPropertyTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.dltk.testing ","isTest","canLaunchAsTesting ","org.eclipse.dltk.internal.testing.DLTKTestingPropertyTester            ",,,,,,,,,,,,
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.debug.ui.propertyTester1 ","org.eclipse.core.runtime.IAdaptable ","scriptdebug ","isRptdesign ","org.eclipse.birt.report.debug.internal.ui.script.ScriptDebuggerPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.rse.subsystems.files.core","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.rse.subsystems.files.core.RemoteFilePropertyTester ","org.eclipse.rse.subsystems.files.core.subsystems.IRemoteFile ","org.eclipse.rse.subsystems.files ","isdirectory ","org.eclipse.rse.internal.subsystems.files.core.RemoteFilePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.xml.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.xml.ui.markerGroupNamePropertyTester ","org.eclipse.core.resources.IMarker ","org.eclipse.wst.xml.ui ","groupNamePrefix ","org.eclipse.wst.xml.ui.internal.validation.core.errorinfo.GroupNamePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.ws.service.policy.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.ws.service.policy.ui.enabled ","org.eclipse.core.resources.IProject ","org.eclipse.wst.ws.service.policy.ui ","isEnabled ","org.eclipse.wst.ws.internal.service.policy.ui.properties.ServicePolicyPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.common.emfworkbench.integration","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.common.internal.emfworkbench.EmfPackagePropertyTester ","org.eclipse.emf.ecore.EObject ","org.eclipse.wst.common.emfworkbench.integration ","emfPackage ","org.eclipse.wst.common.internal.emfworkbench.EmfPackagePropertyTester            ",,,,,,,,,,,,,
